200;Cambiar de forma [Shapechange] ;Asumes una forma diferente. Cuando lanzas el conjuro, elige una de las siguientes opciones, cuyos efectos duran mientras dure el conjuro. Mientras dura el conjuro, puedes finalizar la opción elegida gastando una acción para ganar los beneficios de otra ap;;0;1;1;0;;0;1;1 Accion;7;2;Hasta 1 hora
201;Amigos [Friends] ;Durante la duración de este conjuro, posees ventaja en todas las pruebas de Carisma dirigidas a una criatura de tu elección que no sea hostil hacia ti. Cuando el conjuro finaliza, la criatura se percata que se ha usado magia para influenciar su humor y se;;0;0;1;1;un poco de maquillaje aplicado a la cara cuando este conjuro es lanzado ;0;1;1 Accion;5;0;Hasta 1 minuto
202;Amistad con los animales [Animal Friendship] ;Este conjuro permite convencer a una bestia de que no vas a hacerle daño. Elige una bestia que puedas ver dentro del alcance del conjuro. Ella también debe verte y escucharte. Si la inteligencia de la bestia es 4 o más, el conjuro falla automáticamente. S;;30;1;1;1;un bocado de comida;0;0;1 Accion;5;1;24 horas
203;Animal mensajero [Animal Messenger] ;Por medio de este conjuro se utiliza un animal para entregar un mensaje. Elige una bestia diminuta que puedas ver dentro de tu alcance de visión, como por ejemplo una ardilla, un arrendajo azul o un murciélago. Especifica una ubicación, que debes haber vi;Si lanzas este hechizo usando un espacio de conjuros de nivel 3 o superior, la duración del conjuro aumenta en 48 horas por cada nivel de espacio de con-juros por encima de nivel 2. ;30;1;1;1;un bocado de comida;1;0;1 Accion;5;2;24 horas
204;Antipatía/Simpatía [Antipathy/Sympathy] ;Este conjuro atrae o repele a criaturas de tu elección. Eliges cualquier cosa que esté a tu alcance, un objeto enorme o más pequeño, o una criatura o un área que no sea más grande que un cubo de 200 pies (40 casillas, 60 m). Luego especifica algún tipo de;;60;1;1;1;o bien un terrón de alumbre untado en vinagre para el efecto de antipatía, o bien untando en miel para el efecto de simpatía ;0;0;1 hora;5;8;10 dias
205;Apertura [Knock] ;Elige un objeto que puedas ver dentro del alcance. El objeto puede ser una puerta, una caja, un cofre, un juego de grilletes, un candado u otro objeto que contenga un método corriente o mágico para impedir abrirlo. <br>Un objetivo que esté cerrado por una;;60;1;0;0;;0;0;1 Accion;7;2;instantaneo
206;Arma elemental [Elemental Weapon] ;Un arma no mágica que tocas se convierte en mágica. Elige uno de los siguientes tipos de daño: ácido, frío, fuego, electricidad o sónico. Mientras dure el conjuro, el arma posee un bonificador de +1 a las tiradas de ataque e inflige 1d4 puntos de daño ext;Cuando lanzas este hechizo usando un espacio de conjuros de nivel 5 ó 6, el bonificador aumenta a +2 y el daño extra aumenta a 2d4. Cuando lanzas este hechizo usando un espacio de conjuros de nivel 7 o superior, el bonificador aumenta a +3 y el daño extra;1;1;1;0;;0;1;1 Accion;7;3;Hasta 1 hora
207;Arma espiritual [Spiritual Weapon] ;Creas un arma espectral flotante dentro del alcance que persiste durante la duración o hasta que lances otro conjuro. Cuando lanzas el conjuro, puedes realizar un ataque de conjuro cuerpo a cuerpo contra una criatura a 5 pies (1 casilla, 1.5 m) del arma. ;;60;1;1;0;;0;0;1 accion adicional;2;2;1 minuto
208;Arma mágica [Magic Weapon] ;Tocas un arma no mágica. Hasta que finalice el conjuro, el arma se convierte en un arma mágica con un bonificador +1 a las tiradas de ataque y de daño ;Cuando lanzas este hechizo usando un espacio de conjuros de nivel 4 o superior, el bonificador se incrementa a +2. Cuando usas un espacio de conjuros de nivel 6 o superior, el bonificador se incrementa a +3. ;1;1;1;0;;0;1;1 accion adicional;7;2;Hasta 1 hora
209;Armadura de Agathys [Armor of Agathys] ;Una fuerza mágica protectora te envuelve, manifestándose como un espectro helado que te cubre a ti y a tu equipo. Ganas 5 puntos temporales de golpe mientras dure el conjuro. Si una criatura te golpea mediante un ataque de cuerpo a cuerpo mientras tienes ;Cuando lanzas este hechizo usando un espacio de conjuros de nivel 2 o superior, tanto los Puntos de Golpe temporales como los puntos de daño por frio se incrementan en 5 por cada nivel de espacio de conjuros por encima de nivel 1. ;0;1;1;1;una copa de agua;0;0;1 Accion;3;1;1 hora
